"V1","V2","V3","V4","Class"
4.0102,10.6568,-4.1388,-5.0646,1
4.1425,-3.6792,3.8281,1.6297,1
3.0934,-2.9177,2.2232,0.22283,1
2.2034,5.9947,0.53009,0.84998,1
3.744,0.79459,0.95851,1.0077,1
3.0329,2.2948,2.1135,0.35084,1
3.7731,7.2073,-1.6814,-0.94742,1
3.1557,2.8908,0.59693,0.79825,1
1.8114,7.6067,-0.9788,-2.4668,1
4.988,7.2052,-3.2846,-1.1608,1
2.483,6.6155,-0.79287,-0.90863,1
1.594,4.7055,1.3758,0.081882,1
-0.016103,9.7484,0.15394,-1.6134,1
3.8496,9.7939,-4.1508,-4.4582,1
0.9297,-3.7971,4.6429,-0.2957,1
4.9342,2.4107,-0.17594,1.6245,1
3.8417,10.0215,-4.2699,-4.9159,1
5.3915,9.9946,-3.8081,-3.3642,1
4.4072,-0.070365,2.0416,1.1319,1
2.6946,6.7976,-0.40301,0.44912,1
5.2756,0.13863,0.12138,1.1435,1
3.4312,6.2637,-1.9513,-0.36165,1
4.052,-0.16555,0.45383,0.51248,1
1.3638,-4.7759,8.4182,-1.8836,1
0.89566,7.7763,-2.7473,-1.9353,1
1.9265,7.7557,-0.16823,-3.0771,1
0.20977,-0.46146,7.7267,0.90946,1
4.068,-2.9363,2.1992,0.50084,1
2.877,-4.0599,3.6259,-0.32544,1
0.3223,-0.89808,8.0883,0.69222,1
-1.3,10.2678,-2.953,-5.8638,1
1.7747,-6.4334,8.15,-0.89828,1
1.3419,-4.4221,8.09,-1.7349,1
0.89606,10.5471,-1.4175,-4.0327,1
0.44125,2.9487,4.3225,0.7155,1
3.2422,6.2265,0.12224,-1.4466,1
2.5678,3.5136,0.61406,-0.40691,1
-2.2153,11.9625,0.078538,-7.7853,1
4.1349,6.1189,-2.4294,-0.19613,1
1.934,-0.000009,4.816,-0.33967,1
2.5068,1.1588,3.9249,0.12585,1
2.1464,6.0795,-0.5778,-2.2302,1
0.051979,7.0521,-2.0541,-3.1508,1
1.2706,8.035,-0.19651,-2.1888,1
1.143,0.83391,5.4552,-0.56984,1
2.2928,9.0386,-3.2417,-1.2991,1
0.3292,-4.4552,4.5718,-0.9888,1
2.9719,6.8369,-0.2702,0.71291,1
1.6849,8.7489,-1.2641,-1.3858,1
-1.9177,11.6894,2.5454,-3.2763,1
2.3729,10.4726,-3.0087,-3.2013,1
1.0284,9.767,-1.3687,-1.7853,1
0.27451,9.2186,-3.2863,-4.8448,1
1.6032,-4.7863,8.5193,-2.1203,1
4.616,10.1788,-4.2185,-4.4245,1
4.2478,7.6956,-2.7696,-1.0767,1
4.0215,-2.7004,2.4957,0.36636,1
5.0297,-4.9704,3.5025,-0.23751,1
1.5902,2.2948,3.2403,0.18404,1
2.1274,5.1939,-1.7971,-1.1763,1
1.1811,8.3847,-2.0567,-0.90345,1
0.3292,-4.4552,4.5718,-0.9888,1
5.7353,5.2808,-2.2598,0.075416,1
2.6718,5.6574,0.72974,-1.4892,1
1.5799,-4.7076,7.9186,-1.5487,1
2.9499,2.2493,1.3458,-0.037083,1
0.5195,-3.2633,3.0895,-0.9849,1
3.7352,9.5911,-3.9032,-3.3487,1
-1.7344,2.0175,7.7618,0.93532,1
3.884,10.0277,-3.9298,-4.0819,1
3.5257,1.2829,1.9276,1.7991,1
4.4549,2.4976,1.0313,0.96894,1
-0.16108,-6.4624,8.3573,-1.5216,1
4.2164,9.4607,-4.9288,-5.2366,1
3.5152,6.8224,-0.67377,-0.46898,1
1.6988,2.9094,2.9044,0.11033,1
1.0607,2.4542,2.5188,-0.17027,1
2.0421,1.2436,4.2171,0.90429,1
3.5594,1.3078,1.291,1.6556,1
3.0009,5.8126,-2.2306,-0.66553,1
3.9294,1.4112,1.8076,0.89782,1
3.4667,-4.0724,4.2882,1.5418,1
3.966,3.9213,0.70574,0.33662,1
1.0191,2.33,4.9334,0.82929,1
0.96414,5.616,2.2138,-0.12501,1
1.8205,6.7562,0.009991,0.39481,1
4.9923,7.8653,-2.3515,-0.71984,1
-1.1804,11.5093,0.15565,-6.8194,1
4.0329,0.23175,0.89082,1.1823,1
0.66018,10.3878,-1.4029,-3.9151,1
3.5982,7.1307,-1.3035,0.21248,1
-1.8584,7.886,-1.6643,-1.8384,1
4.0972,0.46972,1.6671,0.91593,1
3.3299,0.91254,1.5806,0.39352,1
3.1088,3.1122,0.80857,0.4336,1
-4.2859,8.5234,3.1392,-0.91639,1
-1.2528,10.2036,2.1787,-5.6038,1
0.5195,-3.2633,3.0895,-0.9849,1
0.3292,-4.4552,4.5718,-0.9888,1
0.88872,5.3449,2.045,-0.19355,1
3.5458,9.3718,-4.0351,-3.9564,1
-0.21661,8.0329,1.8848,-3.8853,1
2.7206,9.0821,-3.3111,-0.96811,1
3.2051,8.6889,-2.9033,-0.7819,1
2.6917,10.8161,-3.3,-4.2888,1
-2.3242,11.5176,1.8231,-5.375,1
2.7161,-4.2006,4.1914,0.16981,1
3.3848,3.2674,0.90967,0.25128,1
1.7452,4.8028,2.0878,0.62627,1
2.805,0.57732,1.3424,1.2133,1
5.7823,5.5788,-2.4089,-0.056479,1
3.8999,1.734,1.6011,0.96765,1
3.5189,6.332,-1.7791,-0.020273,1
3.2294,7.7391,-0.37816,-2.5405,1
3.4985,3.1639,0.22677,-0.1651,1
2.1948,1.3781,1.1582,0.85774,1
2.2526,9.9636,-3.1749,-2.9944,1
4.1529,-3.9358,2.8633,-0.017686,1
0.74307,11.17,-1.3824,-4.0728,1
1.9105,8.871,-2.3386,-0.75604,1
-1.5055,0.070346,6.8681,-0.50648,1
0.58836,10.7727,-1.3884,-4.3276,1
3.2303,7.8384,-3.5348,-1.2151,1
-1.9922,11.6542,2.6542,-5.2107,1
2.8523,9.0096,-3.761,-3.3371,1
4.2772,2.4955,0.48554,0.36119,1
1.5099,0.039307,6.2332,-0.30346,1
5.4188,10.1457,-4.084,-3.6991,1
0.86202,2.6963,4.2908,0.54739,1
3.8117,10.1457,-4.0463,-4.5629,1
0.54777,10.3754,-1.5435,-4.1633,1
2.3718,7.4908,0.015989,-1.7414,1
-2.4953,11.1472,1.9353,-3.4638,1
4.6361,-2.6611,2.8358,1.1991,1
-2.2527,11.5321,2.5899,-3.2737,1
3.7982,10.423,-4.1602,-4.9728,1
-0.36279,8.2895,-1.9213,-3.3332,1
2.1265,6.8783,0.44784,-2.2224,1
0.86736,5.5643,1.6765,-0.16769,1
3.7831,10.0526,-3.8869,-3.7366,1
-2.2623,12.1177,0.28846,-7.7581,1
1.2616,4.4303,-1.3335,-1.7517,1
2.6799,3.1349,0.34073,0.58489,1
-0.39816,5.9781,1.3912,-1.1621,1
4.3937,0.35798,2.0416,1.2004,1
2.9695,5.6222,0.27561,-1.1556,1
1.3049,-0.15521,6.4911,-0.75346,1
2.2123,-5.8395,7.7687,-0.85302,1
1.9647,6.9383,0.57722,0.66377,1
3.0864,-2.5845,2.2309,0.30947,1
0.3798,0.7098,0.7572,-0.4444,1
0.58982,7.4266,1.2353,-2.9595,1
0.14783,7.946,1.0742,-3.3409,1
-0.062025,6.1975,1.099,-1.131,1
4.223,1.1319,0.72202,0.96118,1
0.64295,7.1018,0.3493,-0.41337,1
1.941,0.46351,4.6472,1.0879,1
4.0047,0.45937,1.3621,1.6181,1
3.7767,9.7794,-3.9075,-3.5323,1
3.4769,-0.15314,2.53,2.4495,1
1.9818,9.2621,-3.521,-1.872,1
3.8023,-3.8696,4.044,0.95343,1
4.3483,11.1079,-4.0857,-4.2539,1
1.1518,1.3864,5.2727,-0.43536,1
-1.2576,1.5892,7.0078,0.42455,1
1.9572,-5.1153,8.6127,-1.4297,1
-2.484,12.1611,2.8204,-3.7418,1
-1.1497,1.2954,7.701,0.62627,1
4.8368,10.0132,-4.3239,-4.3276,1
-0.12196,8.8068,0.94566,-4.2267,1
1.9429,6.3961,0.092248,0.58102,1
1.742,-4.809,8.2142,-2.0659,1
-1.5222,10.8409,2.7827,-4.0974,1
-1.3,10.2678,-2.953,-5.8638,1
3.4246,-0.14693,0.80342,0.29136,1
2.5503,-4.9518,6.3729,-0.41596,1
1.5691,6.3465,-0.1828,-2.4099,1
1.3087,4.9228,2.0013,0.22024,1
5.1776,8.2316,-3.2511,-1.5694,1
2.229,9.6325,-3.1123,-2.7164,1
5.6272,10.0857,-4.2931,-3.8142,1
1.2138,8.7986,-2.1672,-0.74182,1
0.3798,0.7098,0.7572,-0.4444,1
0.5415,6.0319,1.6825,-0.46122,1
4.0524,5.6802,-1.9693,0.026279,1
4.7285,2.1065,-0.28305,1.5625,1
3.4359,0.66216,2.1041,1.8922,1
0.86816,10.2429,-1.4912,-4.0082,1
3.359,9.8022,-3.8209,-3.7133,1
3.6702,2.9942,0.85141,0.30688,1
1.3349,6.1189,0.46497,0.49826,1
3.1887,-3.4143,2.7742,-0.2026,1
2.4527,2.9653,0.20021,-0.056479,1
3.9121,2.9735,0.92852,0.60558,1
3.9364,10.5885,-3.725,-4.3133,1
3.9414,-3.2902,3.1674,1.0866,1
3.6922,-3.9585,4.3439,1.3517,1
5.681,7.795,-2.6848,-0.92544,1
0.77124,9.0862,-1.2281,-1.4996,1
3.5761,9.7753,-3.9795,-3.4638,1
1.602,6.1251,0.52924,0.47886,1
2.6682,10.216,-3.4414,-4.0069,1
2.0007,1.8644,2.6491,0.47369,1
0.64215,3.1287,4.2933,0.64696,1
4.3848,-3.0729,3.0423,1.2741,1
0.77445,9.0552,-2.4089,-1.3884,1
0.96574,8.393,-1.361,-1.4659,1
3.0948,8.7324,-2.9007,-0.96682,1
4.9362,7.6046,-2.3429,-0.85302,1
-1.9458,11.2217,1.9079,-3.4405,1
5.7403,-0.44284,0.38015,1.3763,1
-2.6989,12.1984,0.67661,-8.5482,1
1.1472,3.5985,1.9387,-0.43406,1
2.9742,8.96,-2.9024,-1.0379,1
4.5707,7.2094,-3.2794,-1.4944,1
0.1848,6.5079,2.0133,-0.87242,1
0.87256,9.2931,-0.7843,-2.1978,1
0.39559,6.8866,1.0588,-0.67587,1
3.8384,6.1851,-2.0439,-0.033204,1
2.8209,7.3108,-0.81857,-1.8784,1
2.5817,9.7546,-3.1749,-2.9957,1
3.8213,0.23175,2.0133,2.0564,1
0.3798,0.7098,0.7572,-0.4444,1
3.4893,6.69,-1.2042,-0.38751,1
-1.7781,0.8546,7.1303,0.027572,1
2.0962,2.4769,1.9379,-0.040962,1
0.94732,-0.57113,7.1903,-0.67587,1
2.8261,9.4007,-3.3034,-1.0509,1
0.007125,8.3661,0.50781,-3.8155,1
0.96788,7.1907,1.2798,-2.4565,1
4.7432,2.1086,0.1368,1.6543,1
3.6575,7.2797,-2.2692,-1.144,1
3.8832,6.4023,-2.432,-0.98363,1
3.4776,8.811,-3.1886,-0.92285,1
1.1315,7.9212,1.093,-2.8444,1
2.8237,2.8597,0.19678,0.57196,1
1.9321,6.0423,0.26019,-2.053,1
3.0632,-3.3315,5.1305,0.8267,1
-1.8411,10.8306,2.769,-3.0901,1
2.8084,11.3045,-3.3394,-4.4194,1
2.5698,-4.4076,5.9856,0.078002,1
-0.12624,10.3216,-3.7121,-6.1185,1
3.3756,-4.0951,4.367,1.0698,1
-0.048008,-1.6037,8.4756,0.75558,1
0.5706,-0.0248,1.2421,-0.5621,1
0.88444,6.5906,0.55837,-0.44182,1
3.8644,3.7061,0.70403,0.35214,1
1.2999,2.5762,2.0107,-0.18967,1
2.0051,-6.8638,8.132,-0.2401,1
4.9294,0.27727,0.20792,0.33662,1
2.8297,6.3485,-0.73546,-0.58665,1
2.565,8.633,-2.9941,-1.3082,1
2.093,8.3061,0.022844,-3.2724,1
4.6014,5.6264,-2.1235,0.19309,1
5.0617,-0.35799,0.44698,0.99868,1
-0.2951,9.0489,-0.52725,-2.0789,1
3.577,2.4004,1.8908,0.73231,1
3.9433,2.5017,1.5215,0.903,1
2.6648,10.754,-3.3994,-4.1685,1
5.9374,6.1664,-2.5905,-0.36553,1
2.0153,1.8479,3.1375,0.42843,1
5.8782,5.9409,-2.8544,-0.60863,1
-2.3983,12.606,2.9464,-5.7888,1
1.762,4.3682,2.1384,0.75429,1
4.2406,-2.4852,1.608,0.7155,1
3.4669,6.87,-1.0568,-0.73147,1
3.1896,5.7526,-0.18537,-0.30087,1
0.81356,9.1566,-2.1492,-4.1814,1
0.52855,0.96427,4.0243,-1.0483,1
2.1319,-2.0403,2.5574,-0.061652,1
0.33111,4.5731,2.057,-0.18967,1
1.2746,8.8172,-1.5323,-1.7957,1
2.2091,7.4556,-1.3284,-3.3021,1
2.5328,7.528,-0.41929,-2.6478,1
3.6244,1.4609,1.3501,1.9284,1
-1.3885,12.5026,0.69118,-7.5487,1
5.7227,5.8312,-2.4097,-0.24527,1
3.3583,10.3567,-3.7301,-3.6991,1
2.5227,2.2369,2.7236,0.79438,1
0.045304,6.7334,1.0708,-0.9332,1
4.8278,7.7598,-2.4491,-1.2216,1
1.9476,-4.7738,8.527,-1.8668,1
2.7659,0.66216,4.1494,-0.28406,1
-0.10648,-0.76771,7.7575,0.64179,1
0.72252,-0.053811,5.6703,-1.3509,1
4.2475,1.4816,-0.48355,0.95343,1
3.9772,0.33521,2.2566,2.1625,1
3.6667,4.302,0.55923,0.33791,1
2.8232,10.8513,-3.1466,-3.9784,1
-1.4217,11.6542,-0.057699,-7.1025,1
4.2458,1.1981,0.66633,0.94696,1
4.1038,-4.8069,3.3491,-0.49225,1
1.4507,8.7903,-2.2324,-0.65259,1
3.4647,-3.9172,3.9746,0.36119,1
1.8533,6.1458,1.0176,-2.0401,1
3.5288,0.71596,1.9507,1.9375,1
3.9719,1.0367,0.75973,1.0013,1
3.534,9.3614,-3.6316,-1.2461,1
3.6894,9.887,-4.0788,-4.3664,1
3.0672,-4.4117,3.8238,-0.81682,1
2.6463,-4.8152,6.3549,0.003003,1
2.2893,3.733,0.6312,-0.39786,1
1.5673,7.9274,-0.056842,-2.1694,1
4.0405,0.51524,1.0279,1.106,1
4.3846,-4.8794,3.3662,-0.029324,1
2.0165,-0.25246,5.1707,1.0763,1
4.0446,11.1741,-4.3582,-4.7401,1
-0.33729,-0.64976,7.6659,0.72326,1
-2.4604,12.7302,0.91738,-7.6418,1
4.1195,10.9258,-3.8929,-4.1802,1
2.0193,0.82356,4.6369,1.4202,1
1.5701,7.9129,0.29018,-2.1953,1
2.6415,7.586,-0.28562,-1.6677,1
5.0214,8.0764,-3.0515,-1.7155,1
4.3435,3.3295,0.83598,0.64955,1
1.8238,-6.7748,8.3873,-0.54139,1
3.9382,0.9291,0.78543,0.6767,1
2.2517,-5.1422,4.2916,-1.2487,1
5.504,10.3671,-4.413,-4.0211,1
2.8521,9.171,-3.6461,-1.2047,1
1.1676,9.1566,-2.0867,-0.80647,1
2.6104,8.0081,-0.23592,-1.7608,1
0.32444,10.067,-1.1982,-4.1284,1
3.8962,-4.7904,3.3954,-0.53751,1
2.1752,-0.8091,5.1022,-0.67975,1
1.1588,8.9331,-2.0807,-1.1272,1
4.7072,8.2957,-2.5605,-1.4905,1
-1.9667,11.8052,-0.40472,-7.8719,1
4.0552,0.40143,1.4563,0.65343,1
2.3678,-6.839,8.4207,-0.44829,1
0.33565,6.8369,0.69718,-0.55691,1
4.3398,-5.3036,3.8803,-0.70432,1
1.5456,8.5482,0.4187,-2.1784,1
1.4276,8.3847,-2.0995,-1.9677,1
-0.27802,8.1881,-3.1338,-2.5276,1
0.93611,8.6413,-1.6351,-1.3043,1
4.6352,-3.0087,2.6773,1.212,1
1.5268,-5.5871,8.6564,-1.722,1
0.95626,2.4728,4.4578,0.21636,1
-2.7914,1.7734,6.7756,-0.39915,1
5.2032,3.5116,-1.2538,1.0129,1
3.1836,7.2321,-1.0713,-2.5909,1
0.65497,5.1815,1.0673,-0.42113,1
5.6084,10.3009,-4.8003,-4.3534,1
1.105,7.4432,0.41099,-3.0332,1
3.9292,-2.9156,2.2129,0.30817,1
1.1558,6.4003,1.5506,0.6961,1
2.5581,2.6218,1.8513,0.40257,1
2.7831,10.9796,-3.557,-4.4039,1
3.7635,2.7811,0.66119,0.34179,1
