"Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
-1,1,0.491128,-0.961429,0,0.076923,-0.25,-0.958947,1,1,-0.910448,1,0,-0.82,-1
-1,1,-0.699248,-0.970357,-1,0.076923,-0.25,-0.997193,-1,1,-0.940299,-1,0,-0.872,-0.99988
1,-1,-0.789474,-0.267857,0,0.538462,-0.25,-0.950175,1,1,-0.940299,1,0,-0.951,-1
-1,-1,-0.676692,-0.875,-1,0.076923,-0.25,-0.988421,-1,-1,-1,-1,0,-0.868,-1
1,1,-0.927218,-0.997143,0,0.076923,-0.25,-0.997193,-1,-1,-1,-1,0,-1,-1
-1,-1,-0.526316,-0.857143,-1,0.384615,0.75,-0.859649,-1,-1,-1,-1,0,-0.744,-0.99966
1,-1,0.175338,0.071429,0,0.076923,-0.25,-0.614035,1,1,-0.58209,-1,0,-1,-0.956
-1,1,-0.441203,-0.75,0,-0.538462,-0.25,-0.964912,-1,-1,-1,1,0,-0.768,-1
-1,1,-0.779549,-0.705357,-1,-0.692308,0.75,-0.997193,-1,-1,-1,-1,0,-0.86,-0.998
-1,1,-0.566316,-0.991071,-1,-0.538462,-0.25,-0.994035,-1,-1,-1,-1,0,-0.784,-0.958
-1,1,-0.842105,-0.875,-1,0.076923,-0.25,-0.83614,-1,-1,-1,1,0,-0.888,-0.99988
-1,1,-0.58406,-0.767857,-1,0.538462,0.75,-0.643158,-1,1,-0.940299,1,0,-0.631,-0.99998
1,1,-0.576541,-0.892857,0,0.230769,-0.25,-0.859649,1,1,-0.671642,1,0,-0.566,-0.9993
1,1,-0.210526,-0.535714,0,-0.230769,0,-0.754386,1,1,-0.970149,-1,0,-1,-0.99
-1,-1,-0.290827,-0.821429,0,-0.692308,0.75,-0.985263,-1,-1,-1,-1,0,-0.74,-0.99508
1,1,-0.135338,-0.648929,-1,0.230769,-0.25,-0.777895,1,-1,-1,1,0,-0.948,-0.97116
1,1,0.293233,-0.125,0,-0.076923,-0.25,-0.912281,1,1,-0.880597,1,0,-0.8,-1
-1,1,-0.115188,-0.642857,0,-0.692308,0,-0.842105,-1,-1,-1,1,0,-0.859,-1
-1,-1,-0.699248,-0.949286,0,0.230769,-0.25,-0.982456,-1,1,-0.970149,1,0,-0.76,-0.99992
1,1,-0.857143,-0.857143,0,-0.692308,-0.25,-0.894737,1,1,-0.940299,-1,0,-0.88,-0.994
-1,-1,-0.185564,-0.75,0,-0.692308,0,-0.964912,-1,-1,-1,-1,-1,0.16,-1
1,-1,-0.676692,-0.964286,0,0.538462,0.75,-0.894737,1,-1,-1,-1,0,-0.72,-0.98352
1,1,-0.150376,-0.300714,0,1,0.75,-0.441404,1,1,-0.761194,-1,0,-1,-1
-1,-1,-0.827068,-0.988214,0,0.538462,-0.25,-0.997193,-1,-1,-1,1,0,-0.62,-1
-1,1,-0.766917,-0.178571,0,-0.692308,-0.25,-0.964912,1,-1,-1,1,0,-0.9,-0.99864
-1,1,-0.473684,-0.7975,0,-1,-1,-1,-1,1,-0.850746,-1,0,-0.824,-0.99708
1,1,-0.593985,-0.886786,0,0.846154,0.75,-0.871228,1,1,-0.641791,1,0,-0.417,-0.98574
-1,1,0.052632,0.881071,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1
-1,-1,-0.498647,-0.901786,0,0.230769,0.75,-0.997193,-1,1,-0.910448,-1,0,-1,-0.99934
-1,1,-0.528722,-0.910714,0,0.230769,-0.25,-0.877193,-1,-1,-1,-1,0,-0.8,-1
1,1,-0.56391,-0.64,-1,0.076923,0,-0.894737,1,1,-0.761194,1,0,-0.856,-0.99986
1,1,-0.203008,0.535714,0,0.384615,1,0.403509,1,1,-0.671642,-1,0,-1,-0.976
-1,1,-0.31579,-0.696429,0,0.538462,-0.25,-0.754386,-1,-1,-1,-1,0,-0.546,-0.999
-1,1,-0.644211,-0.976071,0,-0.538462,0.75,-0.754386,-1,-1,-1,1,0,-0.66,-1
-1,1,-0.516391,-0.75,0,0.076923,-0.25,-0.988421,-1,-1,-1,-1,0,-0.784,-1
-1,1,-0.719399,-1,0,-0.538462,-0.25,-0.929825,-1,1,-0.671642,-1,-1,-1,-1
1,-1,-0.446015,-0.895714,0,0.230769,-0.25,-0.92386,1,1,-0.522388,-1,0,-0.88,-0.95842
1,1,-0.656541,-0.75,0,0.846154,-0.25,-0.95614,1,1,-0.791045,-1,0,-1,-0.85882
-1,-1,-0.35579,-0.732143,0,-1,-1,-1,-1,1,-0.820896,-1,0,-1,-0.996
-1,-1,-0.854737,-0.285714,0,-0.846154,-0.25,-0.970877,-1,-1,-1,-1,0,-0.92,-0.99916
-1,1,-0.212932,-0.642857,0,-0.692308,0,-0.985263,-1,-1,-1,-1,0,-0.45,-1
-1,1,-0.709173,-0.928571,0,0.076923,-0.25,-0.964912,-1,-1,-1,1,-1,-0.72,-1
1,1,-0.283308,-1,0,0.076923,-0.25,-1,-1,-1,-1,-1,1,-0.816,-1
-1,-1,-0.669173,-0.023929,0,0.538462,0.75,-0.894737,-1,-1,-1,-1,0,-0.72,-0.99998
1,-1,0,-0.071429,0,-0.692308,0,-0.637544,1,1,-0.731343,1,0,-1,-1
1,1,-0.385865,-0.625,0,0.230769,-0.25,-0.994035,-1,-1,-1,1,0,-0.71,-0.99988
-1,1,-0.746767,-0.958214,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.9,-1
-1,1,-0.578947,-0.907857,0,-0.538462,0.75,-0.982456,-1,-1,-1,1,-1,-0.86,-1
-1,1,-0.12782,-0.708214,0,-0.230769,-0.25,-0.997193,-1,-1,-1,-1,0,-0.892,-0.998
-1,1,-0.551278,0.035714,0,-0.846154,-0.25,-0.991228,-1,-1,-1,-1,0,-1,-0.99428
1,1,-0.323308,-0.642857,0,0.076923,0,-0.824561,1,1,-0.820896,-1,0,-1,-0.99266
-1,-1,-0.867068,-0.285714,-1,0.538462,0.75,-0.988421,-1,-1,-1,-1,0,-0.66,-1
1,1,-0.774436,-0.892857,0,0.230769,-0.25,-0.894737,-1,-1,-1,-1,0,-0.85,-0.99984
-1,-1,-0.243008,-0.881071,0,-0.230769,-0.25,-0.982456,-1,-1,-1,-1,0,-1,-0.9922
-1,1,-0.456241,-0.997143,-1,-0.076923,-0.25,-0.997193,-1,-1,-1,-1,0,-1,-1
-1,-1,-0.892331,-0.321429,0,-0.230769,-0.25,-0.877193,-1,1,-0.701493,1,0,-1,-0.9998
1,-1,-0.799399,-0.940357,0,0.538462,-0.25,-0.888772,1,1,-0.970149,-1,0,-1,-1
-1,-1,-0.238195,-0.714286,0,0.076923,-0.25,-0.789474,-1,-1,-1,-1,0,-0.52,-1
1,1,-0.250526,-0.985,0,-0.538462,-0.25,-0.994035,1,-1,-1,1,0,-0.72,-1
1,1,-0.581353,-0.017857,0,0.230769,-0.25,-0.596491,1,-1,-1,1,0,-0.513,-0.99
1,1,-0.578947,-0.958214,-1,0.846154,-0.25,-0.982456,1,1,-0.940299,-1,0,-0.74,-0.99
-1,1,-0.842105,-1,-1,-1,-1,-1,-1,1,-0.880597,-1,0,-0.955,-0.99998
1,-1,-0.661654,-0.9375,0,1,0.75,-0.927018,1,-1,-1,1,0,-0.84,-0.8828
1,1,-0.581353,-0.857143,0,1,0.75,-0.929825,1,1,-0.880597,-1,0,-0.86,-0.84912
-1,1,-0.744361,-0.357143,0,-0.230769,-0.25,-0.994035,-1,-1,-1,-1,0,-1,-1
1,-1,0.085113,-0.029643,0,-0.538462,0.75,-0.403509,1,-1,-1,1,0,-1,-1
-1,1,-0.441203,-0.821429,0,0.076923,-0.25,-0.912281,-1,-1,-1,1,0,-0.72,-1
-1,1,-0.263158,-0.276786,-1,-0.538462,-0.25,-0.991228,-1,-1,-1,-1,0,-0.84,-1
-1,1,0.009925,-0.535714,0,0.076923,-0.25,-0.929825,-1,-1,-1,1,0,-1,-0.99544
-1,1,-0.576541,-0.714286,-1,-0.692308,0.75,-0.596491,1,1,-0.940299,1,0,-0.925,-1
1,-1,-0.338346,-0.934643,0,-0.230769,-0.25,-0.947368,1,1,-0.880597,-1,0,-1,-0.96834
-1,1,-0.403609,-0.982143,0,-0.692308,0,-0.719298,-1,-1,-1,1,-1,-0.58,-1
1,1,-0.388571,-0.994286,-1,-0.076923,0,-0.997193,1,1,-0.970149,1,0,-0.72,-0.96
1,-1,-0.789474,-0.261786,0,0.846154,0.75,-0.976491,1,1,-0.970149,1,0,-0.92,-0.999
1,1,-0.41594,-0.928571,0,1,-0.25,-0.947368,1,1,-0.791045,1,0,-0.66,-0.91858
1,1,-0.729323,-0.214286,0,0.538462,-0.25,-0.824561,1,1,-0.791045,1,0,-0.9,-0.98382
1,1,0.052632,-0.392857,0,0.076923,0.75,-0.122807,1,1,-0.731343,-1,0,-0.819,-0.9669
1,1,-0.193083,-0.642857,0,0.076923,-0.25,-0.649123,1,1,-0.791045,-1,0,-1,-0.9387
-1,1,-0.79188,-0.940357,-1,0.076923,-0.25,-0.859649,-1,-1,-1,1,-1,-0.76,-1
-1,-1,-0.24812,-0.892857,0,-1,-1,-1,-1,-1,-1,-1,0,-0.924,-1
1,-1,0.303158,0.392857,0,0.076923,-0.25,-0.614035,1,1,-0.791045,-1,0,-1,-0.94
1,-1,-0.473684,-0.732143,0,0.846154,0.75,-0.95614,1,1,-0.731343,1,0,-0.819,-1
-1,1,-0.75188,-0.943571,0,0.230769,-0.25,-0.979649,-1,1,-0.970149,-1,0,-0.58,-0.99434
1,-1,0.340752,-0.285714,0,0.538462,-0.25,-0.719298,1,1,-0.58209,-1,0,-1,-0.96796
-1,1,-0.543759,-0.973214,0,0.076923,-0.25,-0.979649,-1,-1,-1,-1,0,-0.78,-0.9972
1,-1,-0.030075,-0.714286,0,-0.384615,-0.5,-1,1,-1,-1,-1,0,-0.9,-0.9808
1,1,-0.781955,-0.785714,-1,-0.846154,-0.25,-0.92386,1,1,-0.761194,1,0,-0.84,-0.99998
1,-1,-0.669173,-0.107143,0,-0.230769,-0.25,-0.894737,1,1,-0.641791,1,0,-0.88,-0.98866
-1,-1,-0.787068,-0.964286,-1,0.384615,-0.75,-0.929825,-1,-1,-1,-1,0,-0.74,-1
-1,1,-0.674286,-0.035714,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.816,-1
-1,-1,-0.616541,-0.806429,-1,0.076923,-0.25,-0.994035,-1,-1,-1,-1,-1,-0.92,-1
-1,1,-0.182857,-0.940357,0,-1,-1,-1,1,-1,-1,-1,0,-0.87,-0.99998
-1,-1,-0.260752,-0.684643,0,0.076923,-0.25,-0.991228,-1,-1,-1,-1,0,-0.84,-1
-1,1,-0.824662,-0.958214,0,-1,-1,-1,-1,1,-0.910448,-1,0,-0.65,-0.98462
1,1,-0.233083,-0.321429,0,-0.076923,-0.25,-0.54386,1,1,-0.58209,-1,0,-0.76,-0.90786
1,1,-0.639098,-0.964286,0,0.076923,-0.25,-0.897544,1,1,-0.850746,1,0,-0.688,-1
1,-1,-0.027669,-0.785714,0,0.076923,-0.25,-0.833333,1,1,-0.761194,1,0,-0.604,-0.91682
-1,1,-0.821955,-0.285714,-1,-0.538462,0.75,-0.941404,1,-1,-1,1,0,-0.86,-1
-1,-1,-0.744361,-0.910714,-1,-1,-1,-0.77193,-1,-1,-1,-1,0,-0.72,-1
-1,1,-0.847218,-0.747143,-1,-1,-1,-1,-1,-1,-1,1,0,-0.82,-0.99998
1,1,0.513684,0.428571,0,1,0.75,0.22807,1,1,-0.731343,1,0,-1,-0.98
-1,-1,-0.917293,-0.910714,0,0.538462,-0.25,-0.982456,-1,1,-0.970149,-1,0,-0.892,-0.99804
1,-1,0.651729,0.071429,0,0.384615,1,-1,1,1,-0.58209,-1,0,-1,-0.93248
1,1,0.894737,0.592143,0,0.384615,1,-0.105263,1,1,-0.970149,1,0,-1,-0.99782
-1,-1,-0.934737,-0.794643,0,0.538462,-0.25,-0.994035,-1,-1,-1,-1,0,-0.88,-1
-1,1,-0.366015,-0.714286,0,-0.846154,0,-0.122807,1,-1,-1,1,0,-0.816,-1
1,-1,0.012632,-0.428571,0,0.384615,0,-0.54386,1,1,-0.820896,-1,0,-0.625,0.022
1,1,-0.716692,-1,0,0.076923,-0.25,-1,-1,-1,-1,-1,1,-0.816,-1
-1,1,-0.055038,-0.892857,0,0.076923,-0.25,-0.824561,1,-1,-1,1,0,-0.86,-1
-1,1,-0.957293,-0.5,0,0.384615,-0.25,-0.929825,-1,-1,-1,-1,0,-0.4,-1
-1,1,-0.847218,-0.970357,-1,0.076923,-0.25,-0.988421,-1,1,-0.970149,-1,0,-0.8,-0.99998
1,1,0.165414,-0.535714,0,-0.538462,-0.25,-0.558597,1,1,-0.552239,-1,0,-1,-0.77596
1,1,-0.836993,-1,-1,-0.076923,0,-1,-1,-1,-1,1,-1,-0.5,-0.99998
1,1,-0.872181,-0.988214,0,0.538462,0.5,-0.985263,-1,-1,-1,-1,0,-0.8,-0.9992
-1,1,-0.285714,-0.940357,0,0.384615,-0.25,-0.997193,-1,-1,-1,-1,0,-0.88,-0.9999
1,1,-0.731729,-0.886786,-1,0.230769,-0.25,-0.783509,1,1,-0.820896,-1,0,-0.92,-1
-1,1,0.024962,-0.7025,0,1,0,-0.994035,-1,-1,-1,1,0,-0.48,-1
-1,1,-0.388571,-0.821429,0,0.076923,-0.25,-0.929825,-1,-1,-1,-1,0,-0.54,-0.99968
-1,-1,-0.418647,-0.883929,0,-0.846154,-0.25,-0.962105,-1,-1,-1,1,0,-1,-1
1,1,-0.117895,-0.973214,-1,0.076923,-0.25,-0.973684,1,1,-0.761194,1,0,-0.7,-0.99676
1,1,-0.37594,-0.711429,-1,-0.692308,0,-0.403509,1,1,-0.791045,1,0,-0.805,-1
-1,1,-0.12782,-0.785714,0,-0.692308,0,-0.929825,1,-1,-1,-1,0,-1,-0.996
-1,1,-0.864662,-0.988214,0,-0.846154,-0.25,-0.982456,-1,-1,-1,1,-1,-0.72,-1
-1,1,-0.719399,-0.821429,0,-1,-1,-0.994035,-1,-1,-1,1,0,-0.9,-0.91584
1,-1,-0.736842,-0.395714,-1,1,-0.25,-0.827368,-1,-1,-1,-1,0,-0.836,-1
-1,1,-0.874587,-0.985357,0,-0.230769,-0.25,-0.997193,-1,-1,-1,-1,0,-0.72,-0.985
-1,1,-0.859549,-0.256071,-1,-0.230769,-0.25,-0.991228,1,-1,-1,-1,0,-0.88,-0.9925
-1,-1,-0.581353,-0.892857,0,-0.076923,-0.25,-0.859649,1,-1,-1,-1,-1,-0.632,-1
1,-1,-0.844511,-0.339286,-1,0.076923,-0.25,-0.929825,1,1,-0.880597,1,0,-0.92,-0.99
-1,1,-0.731729,-0.946429,0,-0.692308,-0.25,-0.888772,-1,1,-0.970149,1,0,-0.6,-0.99982
-1,1,0.466165,-0.089286,-1,0.076923,0.75,-0.649123,1,-1,-1,-1,0,-0.888,-1
1,-1,-0.706767,-0.357143,0,0.538462,-0.25,-0.403509,1,1,-0.850746,1,0,-0.88,-1
-1,1,-0.353384,-0.773929,0,1,0.75,-0.736842,1,-1,-1,1,0,-0.32,-1
-1,-1,0.295639,-0.696429,-1,-1,-1,-0.649123,-1,-1,-1,1,0,-1,-0.99992
-1,-1,0.190376,-0.988214,0,-1,-1,-1,-1,-1,-1,1,-1,-0.938,-0.99946
1,1,-0.175338,-0.711429,0,0.846154,0.75,-0.508772,1,1,-0.761194,-1,0,-0.68,-1
1,1,-0.145263,-0.64,0,0.538462,0.75,-0.105263,1,-1,-1,1,0,-0.908,-1
-1,1,-0.175338,-0.910714,-1,0.230769,-0.25,-0.982456,-1,-1,-1,-1,0,-1,-0.9961
-1,-1,-0.398496,-0.946429,0,-0.538462,0,-0.929825,1,1,-0.910448,1,0,-0.788,-1
1,1,-0.641504,-0.107143,0,0.846154,-0.25,-0.915088,1,1,1,1,0,-0.86,-0.99484
1,1,-0.681805,-0.526786,-1,-0.846154,-0.25,-0.614035,1,-1,-1,1,-1,-0.9,-1
1,1,-0.71188,-0.169643,-1,0.230769,-0.25,-0.941404,1,-1,-1,1,0,-0.84,-0.994
-1,1,-0.491128,-0.821429,0,0.846154,0.75,-0.842105,-1,-1,-1,1,-1,-0.66,-1
-1,1,-0.295639,-0.714286,0,0.076923,0,-0.649123,1,-1,-1,1,-1,-0.72,-1
-1,1,-0.62406,-0.89,0,0.230769,-0.25,-0.991228,-1,-1,-1,-1,0,-0.9,-1
-1,-1,-0.518797,-0.9525,0,0.230769,-0.25,-0.982456,-1,-1,-1,1,0,-0.7,-1
-1,-1,-0.721805,-0.868929,0,-0.384615,-0.5,-1,-1,1,-0.970149,-1,0,-0.8,-0.99894
-1,1,-0.894737,-0.785714,0,-0.538462,-0.25,-0.997193,-1,-1,-1,1,0,-0.84,-0.9992
1,1,-0.533835,0.056429,0,-0.230769,-0.25,-0.646316,1,1,-0.850746,1,0,-0.832,-1
-1,-1,-0.553985,-0.747143,0,-0.692308,0,-0.964912,1,-1,-1,1,0,-0.829,-1
-1,1,-0.373534,-1,0,0.076923,-0.25,-1,-1,-1,-1,-1,1,-0.816,-1
-1,1,-0.709173,-0.958214,0,0.076923,0.75,-0.994035,1,-1,-1,-1,0,-0.82,-1
1,1,-0.661654,-0.196429,0,0.076923,-0.25,-0.824561,1,1,-0.492537,-1,0,-0.8,-0.97584
1,-1,-0.849624,-0.464286,0,0.538462,-0.25,-0.809825,1,1,-0.850746,-1,0,-0.816,-0.46548
-1,1,-0.89985,-0.982143,0,0.538462,-0.25,-0.976491,-1,1,-0.880597,-1,0,-0.84,-0.99984
-1,-1,-0.929925,-0.976071,0,-1,-1,-1,-1,1,-0.970149,-1,0,-0.84,-0.99748
-1,1,-0.423459,-0.821429,0,-0.230769,-0.25,-0.877193,-1,1,-0.940299,1,0,-0.28,-1
1,-1,-0.802105,-0.285714,0,0.076923,0.75,-0.929825,1,1,-0.880597,-1,0,-0.95,-0.9707
-1,-1,-0.759399,-0.875,-1,-0.384615,-0.5,-1,-1,-1,-1,-1,0,-0.84,-1
1,1,-0.41594,-0.925714,0,0.692308,0.75,-0.54386,1,-1,-1,1,0,-0.836,-0.3743
-1,-1,-0.651729,-0.851071,0,0.076923,0.75,-0.807018,1,-1,-1,1,0,-0.64,-0.99998
1,-1,-0.669173,-0.785714,0,0.538462,0.75,-0.871228,1,1,-0.432836,-1,0,-1,-0.99
1,1,-0.486316,-1,0,0.230769,-0.25,-0.912281,1,1,-0.970149,-1,0,-0.798,-1
-1,1,-0.789474,-0.636786,-1,-0.384615,-0.25,-0.979649,-1,-1,-1,-1,0,-0.86,-0.99632
-1,-1,-0.200601,-0.419643,-1,-0.538462,-0.25,-0.988421,-1,1,-0.940299,-1,0,-0.816,-0.99964
-1,1,-0.528722,-0.910714,0,0.076923,0.75,-0.982456,-1,1,-0.940299,1,0,-0.6,-0.99784
-1,1,-0.182857,-0.964286,-1,-0.076923,-0.25,-0.964912,-1,-1,-1,1,0,-0.87,-1
1,-1,-0.526316,-0.967143,0,-0.538462,-0.25,-0.962105,1,1,-0.880597,-1,0,-0.62,-0.99
1,1,0.223158,-0.964286,-1,-0.538462,0.75,-0.722105,1,-1,-1,-1,0,-0.82,-0.99372
-1,1,-0.390977,-0.607143,-1,0.076923,-0.25,-0.894737,-1,-1,-1,1,0,-0.94,-1
-1,1,-0.661654,-0.142857,0,-0.538462,-0.25,-0.842105,1,1,-0.940299,1,0,-0.88,-0.9999
-1,-1,-0.614135,-0.818571,-1,-1,-1,-1,-1,-1,-1,1,0,-0.82,-0.9988
1,-1,-0.418647,-0.669643,0,0.538462,0.75,-0.885965,1,1,-0.940299,-1,0,-1,-1
-1,1,-0.400902,-0.845357,0,0.076923,-0.25,-0.894737,-1,-1,-1,-1,1,-0.88,-1
-1,1,-0.325714,-0.607143,0,-0.692308,0,-0.649123,-1,-1,-1,-1,0,-0.79,-0.98626
-1,1,-0.827068,-0.979286,0,-0.538462,-0.25,-0.979649,-1,-1,-1,-1,0,-0.72,-0.99272
1,1,-0.686617,-0.9375,0,0.538462,-0.25,-0.675439,1,1,-0.940299,1,0,-0.48,-0.96
1,-1,-0.496241,-0.535714,0,0.076923,0,-0.719298,1,1,-0.791045,1,0,-1,-0.9387
-1,1,-0.81203,-0.5,0,0.076923,-0.25,-0.964912,-1,-1,-1,-1,0,-1,-1
1,1,-0.651729,-0.958571,0,0.076923,-0.25,-0.979649,1,1,-0.791045,1,0,-0.904,-0.89752
-1,1,-0.52391,-0.660714,0,-0.076923,-0.25,-0.859649,-1,1,-0.970149,1,0,-0.54,-0.99864
-1,1,-0.115188,-0.839286,0,-0.692308,0,-0.947368,1,-1,-1,-1,0,-0.44,-1
-1,1,-0.548872,-0.916786,0,-0.538462,-0.25,-0.964912,1,-1,-1,-1,-1,-0.72,-1
-1,1,-0.46406,-0.785714,-1,-0.692308,0,-0.508772,-1,-1,-1,-1,0,-1,-0.99998
1,1,-0.804511,-0.288571,0,0.384615,-0.75,-1,1,-1,-1,-1,0,-1,-1
1,1,-0.06015,-0.392857,0,0.846154,0.75,-0.017544,1,1,-0.970149,1,0,-0.912,-0.96
1,-1,-0.726917,-0.836429,0,0.538462,0.75,-0.839298,1,1,-0.791045,1,0,-0.86,-0.95232
1,-1,-0.79188,-0.785714,0,0.538462,-0.25,-0.988421,1,1,-0.910448,-1,0,-0.9,-0.99988
-1,1,-0.576541,-0.892857,0,0.230769,-0.25,-0.842105,-1,1,-0.970149,1,0,-0.9,-0.99994
-1,1,-0.182857,-0.839286,-1,1,0.75,-0.298246,1,-1,-1,1,0,-0.824,-1
1,1,0.283308,1,-1,0.076923,-0.25,1,1,1,0.19403,-1,0,-1,-0.9997
1,-1,0.513684,-0.988214,0,-1,-1,-1,1,1,-0.970149,-1,0,-0.768,-0.998
1,-1,-0.739248,-0.196429,-1,1,0.75,-0.947368,1,1,-0.880597,-1,0,-1,-0.99358
-1,-1,-0.681805,-0.821429,-1,-0.692308,0,-0.684211,-1,-1,-1,-1,0,-0.8,-0.99088
-1,-1,0.676692,-0.571429,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1,-0.343459,-0.946429,0,-0.538462,-0.25,-0.894737,-1,-1,-1,1,0,-0.769,-1
1,1,0.04,-0.142857,0,-0.076923,-0.25,0.122807,1,-1,-1,-1,-1,-0.89,-1
1,-1,-0.569023,0.071429,-1,0.384615,1,-1,1,-1,-1,-1,0,-1,-0.73576
1,1,-0.35579,-0.821429,0,-0.538462,-0.25,-0.684211,1,1,-0.791045,-1,0,-0.85,-0.9746
1,1,0.075188,-0.458214,0,-0.692308,0,-0.467719,1,1,-0.552239,1,0,-1,-0.9
-1,1,1,-0.607143,0,0.076923,-0.25,-0.962105,1,-1,-1,-1,0,-1,-0.9932
